CPU (User Time): 97131.24s | CPU (System Time): 24435.47s | Memória Usada: 8126.19921875 MiB de 15752.23046875 MiB | GPU: 28% | GPU Memória: 54 MiB de 6144 MiB
CPU (User Time): 97137.42s | CPU (System Time): 24436.18s | Memória Usada: 9060.0625 MiB de 15752.23046875 MiB | GPU: 31% | GPU Memória: 54 MiB de 6144 MiB
CPU (User Time): 97145.13s | CPU (System Time): 24436.67s | Memória Usada: 8429.77734375 MiB de 15752.23046875 MiB | GPU: 45% | GPU Memória: 54 MiB de 6144 MiB
CPU (User Time): 97155.02s | CPU (System Time): 24437.72s | Memória Usada: 9133.6640625 MiB de 15752.23046875 MiB | GPU: 26% | GPU Memória: 54 MiB de 6144 MiB
CPU (User Time): 97166.42s | CPU (System Time): 24438.44s | Memória Usada: 9406.8203125 MiB de 15752.23046875 MiB | GPU: 34% | GPU Memória: 54 MiB de 6144 MiB
CPU (User Time): 97177.77s | CPU (System Time): 24439.0s | Memória Usada: 9512.62109375 MiB de 15752.23046875 MiB | GPU: 27% | GPU Memória: 54 MiB de 6144 MiB
CPU (User Time): 97187.11s | CPU (System Time): 24439.69s | Memória Usada: 8363.6875 MiB de 15752.23046875 MiB | GPU: 31% | GPU Memória: 54 MiB de 6144 MiB
CPU (User Time): 97193.56s | CPU (System Time): 24440.24s | Memória Usada: 8472.66796875 MiB de 15752.23046875 MiB | GPU: 26% | GPU Memória: 54 MiB de 6144 MiB
CPU (User Time): 97197.77s | CPU (System Time): 24440.77s | Memória Usada: 7839.72265625 MiB de 15752.23046875 MiB | GPU: 32% | GPU Memória: 54 MiB de 6144 MiB
CPU (User Time): 97204.8s | CPU (System Time): 24441.16s | Memória Usada: 8110.98828125 MiB de 15752.23046875 MiB | GPU: 23% | GPU Memória: 54 MiB de 6144 MiB
CPU (User Time): 97211.83s | CPU (System Time): 24441.42s | Memória Usada: 8107.703125 MiB de 15752.23046875 MiB | GPU: 28% | GPU Memória: 54 MiB de 6144 MiB
CPU (User Time): 97218.74s | CPU (System Time): 24441.76s | Memória Usada: 8189.84375 MiB de 15752.23046875 MiB | GPU: 33% | GPU Memória: 54 MiB de 6144 MiB
CPU (User Time): 97226.1s | CPU (System Time): 24442.08s | Memória Usada: 8206.01953125 MiB de 15752.23046875 MiB | GPU: 23% | GPU Memória: 54 MiB de 6144 MiB
